role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
W,W_C02,Open passes received,27.75,23.225,4.524999999999999,0.6278749742170933,1.0
W,W_C02,Open passes received in the final third,13.86,10.62,3.24,0.8636825429664672,1.0
W,W_C02,Open passes received in the opponent's box,1.5,1.05,0.44999999999999996,0.8056696330459098,1.0
W,W_C02,Actions in opponent's box,4.795,3.33,1.4649999999999999,0.9863298061371822,1.0
W,W_C02,Shots,1.95,1.71,0.24,0.3580256947030565,1.0
W,W_C02,Shots from the penalty area,1.19,1.0,0.18999999999999995,0.4077706278796225,0.998876404494382
W,W_C02,Key passes,0.96,0.65,0.30999999999999994,0.6912504788881182,0.9977528089887641
W,W_C02,Passes for a shot,0.97,0.7,0.27,0.6764966928487041,0.996629213483146
W,W_C02,Defensive challenges,4.35,4.12,0.22999999999999954,0.16089026820468616,1.0
W,W_C02,Ball recoveries,1.79,1.98,-0.18999999999999995,-0.2859426462787687,1.0
W,W_C02,Lost balls,7.82,6.7,1.12,0.7718616823496558,1.0
W,W_C03,Dribbles,2.85,3.31,-0.45999999999999996,-0.2541483325295937,1.0
W,W_C03,Dribbling in the final third,1.44,1.82,-0.3800000000000001,-0.32459077007935994,1.0
W,W_C03,Crosses,1.94,1.66,0.28,0.2965841370820804,1.0
W,W_C03,Passes into the penalty box,4.25,2.55,1.7000000000000002,0.9377057490743788,1.0
W,W_C03,Progressive passes,7.0,4.67,2.33,1.153199543363851,1.0
W,W_C03,Final third entries,1.65,1.14,0.51,0.5032056838316005,1.0
W,W_C03,Final third entries through carry,0.4,0.39,0.010000000000000009,0.01781434680775647,0.8545454545454545
W,W_C03,Carry,1.47,1.98,-0.51,-0.3511534558385113,0.6099173553719008
W,W_C03,Open passes received,28.16,23.225,4.934999999999999,0.6847653033726752,1.0
W,W_C03,Open passes received in the final third,11.69,10.62,1.0700000000000003,0.2852284941278148,1.0
W,W_C03,Open passes received in the opponent's box,0.9,1.05,-0.15000000000000002,-0.2685565443486366,1.0
W,W_C03,Actions in opponent's box,2.58,3.33,-0.75,-0.5049469997289329,1.0
W,W_C03,Shots,1.57,1.71,-0.1399999999999999,-0.20884832191011615,1.0
W,W_C03,Shots from the penalty area,0.76,1.0,-0.24,-0.5150786878479443,0.996694214876033
W,W_C03,Key passes,0.9,0.65,0.25,0.5574600636194502,0.9983471074380166
W,W_C03,Passes for a shot,0.89,0.7,0.19000000000000006,0.47605322830094,0.996694214876033
W,W_C03,Defensive challenges,4.17,4.12,0.04999999999999982,0.03497614526188824,1.0
W,W_C03,Ball recoveries,2.2,1.98,0.2200000000000002,0.33109148516489045,1.0
W,W_C03,Lost balls,6.79,6.7,0.08999999999999986,0.062024599474525814,1.0
FW,FW_C01,Shots,2.1,2.13,-0.029999999999999805,-0.04191494099220101,1.0
FW,FW_C01,Shots from the penalty area,1.67,1.64,0.030000000000000027,0.048984033194235874,1.0
FW,FW_C01,xG (expected goals),0.33,0.33,0.0,0.0,1.0
FW,FW_C01,Actions in opponent's box,3.965,4.52,-0.5549999999999997,-0.3353811326704102,1.0
FW,FW_C01,Open passes received,13.13,14.89,-1.7599999999999998,-0.3007194948919921,1.0
FW,FW_C01,Open passes received in the final third,6.625,7.59,-0.9649999999999999,-0.3353550866576541,1.0
FW,FW_C01,Open passes received in the opponent's box,1.42,1.56,-0.14000000000000012,-0.22129176314145899,0.9993446920052425
FW,FW_C01,Air challenges,4.51,4.83,-0.3200000000000003,-0.10917461901777034,1.0
FW,FW_C01,Attacking challenges,7.135,8.65,-1.5150000000000006,-0.37169226484963286,1.0
FW,FW_C01,Defensive challenges,2.49,2.89,-0.3999999999999999,-0.3966681709457168,1.0
FW,FW_C01,Dribbles,1.28,1.65,-0.3699999999999999,-0.3157434562665054,0.9993446920052425
